name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
GBS70_3300020139_39,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__,10.8,21.3,8.3,33.9,42.6,12.2,9.1,52.4,0.7,1,192.4
Pyrobaculum aerophilum,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum aerophilum,0,0,0,0.1,0.1,0,0,0,0,1,1.2
Pyrobaculum calidifontis,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum calidifontis,0.2,0.1,0,0.1,0.1,0,0,0,0,1,1.5
GBS-W_Jun24_bin.006,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__,0,0.5,8.7,0,0,2.1,11.5,0,31.1,1,54.9
Nanoclepta sp038833255,d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanobdellaceae;g__Nanoclepta;s__Nanoclepta sp038833255,0.1,0.1,0.1,0,0,0,0,0,0,0.9,1.2
GBS-60_Mar13_bin.005,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__,0,0.1,1.6,0,0,0.4,2.3,0,62.1,0.9,67.4
GBS-A_Feb24_bin.010,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,6.2,1.6,0.3,5,0.8,3.2,0.5,0.6,0,0.9,19.1
Pyrobaculum ferrireducens,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum ferrireducens,0.1,0,0,0.1,0.1,0,0,0,0,0.9,1.1
Thermus scotoductus,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus scotoductus,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0.9,1.5
GBS-W_Jun24_bin.017,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Fervidicoccaceae;g__;s__,3.6,0.2,0,1.1,0.1,0,0,0,0,0.9,5.9
Thermocrinis sp036781485,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__Thermocrinis sp036781485,2.7,2,7.6,4,3.4,18.8,5,0.3,2.4,0.8,47
GBS-A_Feb24_bin.074,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,111.3,1,0,2.7,0.2,2.4,0,0,0,0.8,118.6
GBS-A_Feb24_unaligned_bin.002,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,93.7,1,0.1,2.7,0.2,2.6,0.1,0,0,0.8,101.1
Pyrobaculum sp020833025,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp020833025,0.1,0,0,0.1,0.1,0,0,0,0,0.8,1
Thermus arciformis,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus arciformis,0,0.2,0.1,0,0,0.2,0.5,0,0.3,0.8,2.1
GBS-C_Jun24_bin.013,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__J096;g__JAADEL01;s__,0,0.1,0.4,0,0,3.9,3.7,0,0.1,0.7,8.9
GBS-A_Feb24_bin.020,d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Calditenuaceae;g__Calditenuis;s__,437.6,130.9,9.7,418.4,465.1,26.5,61.8,170.5,0.2,0.7,1721.4
GBS60_3300020153_15,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__J102;f__J102;g__SSF26;s__,0,0,0.1,0,0,0.1,0,0,8.4,0.7,9.4
GBS-C_Feb24_bin.092,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,125.1,1.6,0.1,2.4,0.2,9,0,0,0,0.7,139.2
GBS-C_Feb24_bin.054,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__NBVN01;g__DRZP01;s__,51.8,6.6,0.1,3.3,0.5,3,0.1,0.1,0,0.7,66.2
GBS60_3300020153_29,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__JANXAZ01;s__,0,0,0,0,0,0.2,0,0,7.6,0.7,8.5
GBS-B_Feb24_bin.047,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__AG1;g__WYEN01;s__,7.1,1,0,1.9,0.2,0,0,0,0,0.7,10.8
Calescibacterium nevadense,d__Bacteria;p__Calescibacteriota;c__Calescibacteriia;o__Calescibacteriales;f__Calescibacteriaceae;g__Calescibacterium;s__Calescibacterium nevadense,8.9,44.2,33.4,40.2,34.6,49.4,46.4,123.6,9.7,0.6,391.1
